6 | VERIFIED_VERBATIM |  | academic | adventurersleague.wordpress.com | verdicts-dnd-chunk-00.json | terminology consistency (edition-specific bans) | Wizards of the Coast, D&D Style Guide v1.04a | Q=We have abandoned that practice. | TW=We have abandoned that practice. | CLAIM=5e abandoned the 3E/4E use of 'result' for the number rolled and 4E's 'save' for a successful saving throw; 'magic item' never 'magical item'; 'deals 10 fire damage' not 'points of damage'; 'hit point maximum' not 'maximum hit points'. | NOTE=The sentence appears twice, verbatim, once for each abandonment: under 'Saving Throws' ('In 4E, we used "save" as a synonym for "successful saving throw." We have abandoned that practice.') and under 
90 | VERIFIED_VERBATIM |  | craft | dmdavid.com | verdicts-dnd-i79-93.json | Curse of Strahd vs Storm King's Thunder boxed text | DMDavid — How much description should a dungeon key include? (David Hartlage, 2016-11-21) | Q=omits almost all read-aloud text | TW=His follow-up, Storm King's Thunder, omits almost all read-aloud text | CLAIM=DMDavid observes Perkins boxed every location in Curse of Strahd, even empty rooms, and that his next adventure, Storm King's Thunder, 'omits almost all read-aloud text' — the two extremes of WotC 5e practice. | NOTE=Raw page read via curl (post by David Hartlage, November 21, 2016, served on the tag archive URL). Verbatim: 'Curse of Strahd includes it for every location.'; 'DMs who dutifully present the box text 
91 | VERIFIED_VERBATIM | FULL | craft | enworld.org | verdicts-dnd-i79-93.json | 2025 Monster Manual one-phrase characterization | EN World — Monsters & More: An In-Depth Review of the 2025 D&D Monster Manual (Beth Rimmel | Q=tentacled subterranean trapper | TW=the Couatl is 'guardian manifestation of the divine' and the Roper 'tentacled subterranean trapper' | CLAIM=Every 2025 MM entry opens with a single characterizing phrase ('tentacled subterranean trapper', 'guardian manifestation of the divine'); lore is 'compact but effective' though 'a little too compact for my taste'; quote boxes appear on some entries. | NOTE=Raw page read via curl (EN World review by Beth Rimmels / brimmels, Jan 28 2025). Verbatim: 'every entry starts with a single phrase that gives the DM an efficient characterization of the creature. So
92 | VERIFIED_VERBATIM |  | craft | thegamer.com | verdicts-dnd-i79-93.json | 2025 Monster Manual flavor-mechanics alignment | TheGamer — 2025 Monster Manual Review (Jerel Levy, 2025-01-28) | Q= | TW=The flavor has amped up narratively, and the mechanics have followed | CLAIM=TheGamer: 'The flavor has amped up narratively, and the mechanics have followed' (angels wield light, kenku use shadow-magic daggers); there is no lore glossary. | NOTE=Raw page read via curl (TheGamer, Jerel Levy, Published Jan 28 2025). Verbatim: 'The flavor has amped up narratively, and the mechanics have followed.' Angel example verbatim: 'where an angel might ha
93 | VERIFIED_VERBATIM |  | craft | skylandgames.wordpress.com | verdicts-dnd-i79-93.json | sourcebook narrator marginalia | Skyland Games — Review: Xanathar's Guide to Everything (Scott D, 2017-11-13) | Q=a sort of joke or snipe about the subject matter | TW=little notes that run as commentary throughout the book, usually a joke | CLAIM=Xanathar's Guide carries 'little notes that run as commentary throughout the book, usually a sort of joke or snipe about the subject matter', continuing the Volo's device but less relevant on a mechanics-heavy book. | NOTE=Raw page read via curl (Skyland Games, Scott D, November 13, 2017). Whole claim verbatim in one sentence pair: 'As with Volo's Guide to Monsters, there are little notes that run as commentary througho
94 | VERIFIED_VERBATIM |  | craft | dysonlogos.blog | verdicts-dnd-i94-108.json | boxed-text length (two-sentence rule) | Dyson's Dodecahedron — The Dreaded Boxed Text (Dyson Logos, 2013-09-29) | Q=you get two sentences. Period. | TW=If you're the DM, you get two sentences. Period. | CLAIM=Dyson Logos, citing Decker and Noonan's 2005 GenCon table observations, holds that a DM gets two sentences before players stack dice; players missed dimensions, exits and monster counts in longer boxed text. | NOTE=Raw page via Wayback id_ capture 20210728094635 (live host 403s a bot UA). Page carries verbatim: 'If you're the DM, you get two sentences. Period. Beyond that, your players are stacking dice, talking
95 | VERIFIED_VERBATIM |  | craft | enworld.org | verdicts-dnd-i94-108.json | boxed-text length (Noonan/Decker via forum) | EN World — Read aloud text in modules: What are folks' opinions? (thread, page 4, 2025-04- | Q=Ditch the boxed text and use your own words | TW=Ditch the boxed text and use your own words | CLAIM=A 2025 EN World poster re-cites the 2005 Noonan/Decker WotC article: two sentences, 'DMs who didn't used boxed text had more engagement', cold reading is worse than personal phrasing, 'Ditch the boxed text and use your own words' — upstream article not fetched | NOTE=Post #37 by 'touc', Apr 5, 2025, on page 4. Verbatim on page: 'There's a 2005 WOTC article (archived in criteria comments, Dave Noonan & Jesse Decker)'; the two-sentence block quote; 'DMs who didn't u
96 | VERIFIED_VERBATIM |  | craft | enworld.org | verdicts-dnd-i94-108.json | boxed-text length (community ceiling) | EN World — Read aloud text in modules: What are folks' opinions? (thread, page 4, 2025-04- | Q=3 to 5 sentences at most | TW=3 to 5 sentences at most and then other details listed | CLAIM=Thread posters set ceilings of 'no more than two sentences' (GM Lent) or '3 to 5 sentences at most' with listed details for closer investigation (el-remmen). | NOTE=Both attributions correct on page 4. el-remmen (Moderator Emeritus, #34, Apr 5 2025): 'I find it useful if written well and concisely. 3 to 5 sentences at most and then other details listed to be shar
97 | VERIFIED_VERBATIM |  | craft | dndbeyond.com | verdicts-dnd-i94-108.json | boxed-text length (four sentences, under 100 words) | D&D Beyond — Let's Design an Adventure: Boxed Text (Shawn Merwin, 2019-11-06) | Q=Four sentences, and less than 100 words | TW=Four sentences, and less than 100 words. | CLAIM=Shawn Merwin's D&D Beyond craft column: an opening should be 'Four sentences, and less than 100 words'; avoid 'paragraph after paragraph of boxed text'. | NOTE=By Shawn Merwin, Nov 6 2019, on dndbeyond.com. Both quoted strings verbatim: under the heading 'A Boxed-Text Opening' the column presents a four-sentence in-media-res opening and comments 'Four senten
98 | VERIFIED_VERBATIM |  | craft | revivifygames.com | verdicts-dnd-i94-108.json | boxed-text length (three lines, never five) | Revivify Games — What I Value In Adventure Design (2025-03-04) | Q=typically three lines, and never longer than five | TW=typically three lines, and never longer than five | CLAIM=A 5e designer describes evolving from verbose 5e style to bullets to boxed text that is 'typically three lines, and never longer than five' because it sped play and set a base tone per room. | NOTE=Live host 403s a bare fetch and has no Wayback capture; reached raw on the www. host with full browser headers (HTTP 200). Page dated March 4, 2025. Every limb verbatim: 'the 5e work that I have done 
99 | VERIFIED_VERBATIM |  | craft | slyflourish.com | verdicts-dnd-i94-108.json | boxed-text length (under 250 words, cut 25%) | Sly Flourish — Writing Awesome Read-Aloud Text (Mike Shea, 2010-11-08) | Q=less than 250 words to tell it | TW=You have a tiny story to tell and less than 250 words | CLAIM=Sly Flourish: a read-aloud is a tiny story told in 'less than 250 words'; if editing didn't remove 25% you didn't try; 'Keep it short and keep it powerful.' | NOTE=By Mike (Shea), 8 November 2010. All three fragments verbatim: 'writing good read-aloud text is like writing micro-fiction. You have a tiny story to tell and less than 250 words to tell it'; 'If you d
100 | VERIFIED_VERBATIM |  | craft | dmsworkshop.com | verdicts-dnd-i94-108.json | boxed-text length (paragraph break = too long) | Dungeon Master's Workshop — DM 101: Mastering the Boxed Text (2019-09-27) | Q=isn't already too long by half | TW=Aside from introductory passages... too long by half | CLAIM=Outside introductions, a boxed text with a paragraph break 'isn't already too long by half' is rare; villain dialogue should be broken into ~six-second (one-round) statements. | NOTE=Under the heading 'Don't Overdo It': 'Aside from introductory passages, it's rare that a boxed text that includes a paragraph break isn't already too long by half. This is especially the case with vil
103 | VERIFIED_VERBATIM |  | craft | tenfootpole.org | verdicts-dnd-i94-108.json | read-aloud length at the table (critic) | tenfootpole.org — (5e) Death in the Wood review (Bryce Lynch, 2019-02-09) | Q= | TW=the players are almost certainly going to be playing with their phones | CLAIM=Bryce Lynch: long read-aloud at each location means 'the players are almost certainly going to be playing with their phones', even when, rarely, the prose is good. | NOTE=Bryce Lynch, '(5e) Death in the Wood', posted February 9, 2019. Body text verbatim: 'There's long read-aloud at the beginning of each location... It's also pretty well written, which I don't think I'v
104 | VERIFIED_VERBATIM | FULL | craft | critical-hits.com | verdicts-dnd-i94-108.json | third person over second person in boxed text | Critical Hits — Thinking Outside the Boxed Text (Shawn Merwin, 2010-08-27) | Q=Move from the second-person point of view to the third person | TW=Tip 1. Move from the second-person point of view to the third person. | CLAIM=Merwin's core fix: 'Move from the second-person point of view to the third person' — 'The bloated corpse of a headless dragon dominates the center of this small clearing' instead of 'As you enter the clearing, you notice…' — so text cannot dictate PC actions o | NOTE=Shawn Merwin, Critical Hits, August 27, 2010. Tip 1 heading verbatim. Both example strings verbatim and matching THIS 2010 version rather than the 2019 D&D Beyond rewrite: 'By avoiding the second-pers
106 | VERIFIED_VERBATIM |  | craft | thealexandrian.net | verdicts-dnd-i94-108.json | remote-control text | The Alexandrian — GM Don't List #13: Boxed Text Pitfalls (Justin Alexander, 2022-08-01) | Q=the thoughts or feelings | TW=declaring the thoughts or feelings or (worse yet!) actions of the PCs | CLAIM=Alexander names the pitfall 'remote-control text': 'You step forward', 'You smile', or declaring 'the thoughts or feelings' of PCs; show the scene, 'don't tell them how they're reacting to it'. | NOTE=All of this is Alexander's own essay body (above the comment section), unlike claim 101. Section heading 'REMOTE-CONTROL BOXED TEXT'; 'Remote-control boxed text suffers from similar problems (preventi
107 | VERIFIED_VERBATIM |  | craft | dysonlogos.blog | verdicts-dnd-i94-108.json | no predicting party movement | Dyson's Dodecahedron — The Dreaded Boxed Text (Dyson Logos, 2013-09-29) | Q=predicts the future for the party | TW=predicts the future for the party (upon approaching...) | CLAIM=Dyson: bad boxed text 'predicts the future for the party (upon approaching…)' or commands behavior ('you stand in shock'); cure is one or two simple sentences or a point-form list. | NOTE=Same Wayback raw capture as claim 94. Verbatim: 'On top of which it predicts the future for the party (upon approaching...) instead of leaving that up to them. The only thing it doesn't do that some b
108 | VERIFIED_VERBATIM |  | craft | dmsworkshop.com | verdicts-dnd-i94-108.json | second-person subjective as engagement (dissent) | Dungeon Master's Workshop — DM 101: Mastering the Boxed Text (2019-09-27) | Q=the empty air | TW=addressed to them instead of the empty air | CLAIM=DM's Workshop argues the opposite of Merwin: shift from third-person objective ('A 200-foot waterfall cascades') to second-person subjective ('You see a majestic waterfall') so the DM addresses the players rather than 'the empty air'. | NOTE=Both quoted strings verbatim. Recommendation section: 'don't shy away from shifting text from third-person objective ("A 200-foot waterfall cascades down...") to second-person subjective ("You see a m
109 | VERIFIED_VERBATIM |  | craft | baatag.blogspot.com | verdicts-dnd-i109-123.json | perspective-neutral, compass directions | Being An Asshole To A Goblin — Elements of a Key 4: Rules for Key-Writing (Misha F, 2026-0 | Q=Write without assumption of perspective | TW=Rule 8: Write without assumption of perspective. | CLAIM=Key-writing rule: 'Write without assumption of perspective' about entry point; use compass directions ('east wall'), never relative ones ('far side'). | NOTE=Raw page (curl, HTTP 200). Quote verbatim as the Rule 8 heading. Compass limb also verbatim: 'When I do describe a door, I describe it as being on the east or north wall, not the far or right one.' By
110 | VERIFIED_VERBATIM |  | craft | dungeons.hismajestytheworm.games | verdicts-dnd-i109-123.json | no emotional direction, cardinal directions | Designing Dungeons — Chapter 10: Formatting Room Descriptions (Josh McCrowell & Warren D) | Q=short and punchy | TW=Keep the descriptions short and punchy. | CLAIM=Designing Dungeons: keep descriptions 'short and punchy', don't tell players what to feel, use east/west not left/right, and let the map carry redundant door descriptions. | NOTE=Raw page (curl, HTTP 200), title 'Chapter 10: Formatting Room Descriptions | Designing Dungeons'. All four limbs found: quote verbatim; section heading 'Don't tell the players what to feel'; 'Writing 
